Generation,Best,Worst,Avg
0,29818,30727,30202
1,29850,30614,30109.6
2,29737,30904,30096
3,29591,30287,29901.8
4,29442,30291,29843.4
5,29686,30169,29878
6,29686,30119,29800.2
7,29639,30108,29796
8,29639,30108,29950.4
9,29649,30108,29844
10,29666,29886,29819
11,29787,29930,29856.6
12,29815,29930,29876.6
13,29838,29968,29890.8
14,29879,29913,29887.6
15,29853,29925,29883
16,29879,29925,29903
17,29879,29916,29893.8
18,29878,29916,29901
19,29916,29916,29916
20,29916,29916,29916
21,29916,29918,29916.4
22,29916,29918,29916.8
23,29916,29918,29917.2
24,29916,29918,29916.8
25,29912,29947,29926.6
26,29916,29947,29931.4
27,29920,30003,29949
28,29947,30003,29978.4
29,29910,30069,29979.6
30,29947,30039,29993.6
31,29965,30026,30007
32,30009,30072,30037.6
33,30009,30072,30033
34,29971,30079,30028
35,30009,30107,30069.6
36,30062,30107,30085.6
37,29995,30107,30067
38,29995,30109,30053.6
39,30010,30109,30075.2
40,29980,30107,30063.6
41,30062,30169,30111.6
42,30062,30169,30096
43,30107,30156,30127.6
44,30107,30125,30119.2
45,30070,30125,30101.2
46,30070,30149,30119.8
47,30038,30149,30104.8
48,30038,30126,30079.6
49,30038,30126,30083
50,30038,30125,30070.2
51,29998,30126,30066.6
52,29982,30087,30031.8
53,29990,30100,30045.8
54,29973,30087,30026.8
55,29990,30087,30042.4
56,29977,30079,30018.4
57,29928,30061,30007.8
58,29923,30061,29989.8
59,29923,30061,29990.8
60,29923,30061,29999.4
61,29916,30061,30001.2
62,29918,30061,30017
63,29955,30061,30015.4
64,29999,30015,30005.4
65,29999,30066,30024.4
66,30015,30015,30015
67,30015,30015,30015
68,30015,30015,30015
69,30013,30015,30014.6
70,30013,30015,30014.6
71,30013,30053,30021.8
72,30013,30018,30014
73,30010,30013,30012.4
74,30013,30013,30013
75,30013,30024,30015.2
76,29905,30013,29991.4
77,30013,30013,30013
78,30013,30013,30013
79,30013,30013,30013
80,29973,30013,30005
81,29973,30021,29990.6
82,29973,30063,30019.8
83,29981,30063,30026.4
84,29981,30087,30018
85,29981,30029,29994.2
86,29981,30037,29995.8
87,29981,30037,30010.6
88,29999,30037,30029.4
89,29999,30037,30021.8
90,29999,30037,30029.4
91,29999,30037,30029.4
92,30037,30037,30037
93,30037,30037,30037
94,30037,30037,30037
95,30037,30037,30037
96,30037,30037,30037
97,30009,30037,30031.4
98,30037,30140,30057.6
99,30037,30037,30037
100,30037,30037,30037
101,30037,30037,30037
102,30037,30037,30037
103,30037,30037,30037
104,30037,30037,30037
105,29935,30037,30016.6
106,29935,30037,30016.6
107,29935,30037,30016.6
108,29967,30037,30010.4
109,29938,30070,30001.6
110,29983,30067,30013.6
111,29963,30067,30033.2
112,29958,30067,30012
113,29958,30067,30024.2
114,29979,30113,30034.2
115,29979,30113,30048.4
116,30049,30150,30082.4
117,30050,30150,30110.4
118,30113,30113,30113
119,30113,30113,30113
120,30113,30113,30113
121,30113,30113,30113
122,30113,30113,30113
123,30113,30113,30113
124,30113,30120,30114.4
125,30113,30159,30126.4
126,30063,30134,30107.2
127,30113,30113,30113
128,30113,30165,30123.4
129,30113,30165,30133.2
130,30162,30165,30164.4
131,30133,30165,30154.6
132,30133,30165,30157.2
133,30133,30195,30157
134,30109,30185,30145
135,30133,30185,30149.8
136,30133,30133,30133
137,30133,30133,30133
138,30133,30133,30133
139,30129,30133,30132.2
140,30129,30133,30132.2
141,30129,30133,30130.6
142,30075,30133,30119
143,30051,30129,30095.4
144,30051,30093,30077.4
145,30075,30130,30096.8
146,30093,30093,30093
147,30093,30093,30093
148,30093,30093,30093
149,30093,30152,30104.8
150,30093,30180,30114.6
151,29991,30180,30094.2
152,29991,30156,30075.6
153,29991,30093,30047.2
154,29991,30093,30066.8
155,30064,30093,30079.2
156,30064,30093,30078.6
157,30022,30082,30069.4
158,30037,30089,30075.2
159,30011,30091,30063
160,29997,30092,30043.8
161,30037,30099,30074
