Algorithm,pm,Run,Makespan
GA,20,0,6615
GA,20,1,6646
GA,20,2,6663
GA,20,3,6716
GA,20,4,6661
GA,20,5,6600
GA,20,6,6680
GA,20,7,6632
GA,20,8,6597
GA,20,9,6704
GA,20,10,6645
GA,20,11,6666
GA,20,12,6701
GA,20,13,6668
GA,20,14,6639
GA,20,15,6627
GA,20,16,6556
GA,20,17,6641
GA,20,18,6662
GA,20,19,6623
GA,60,0,6644
GA,60,1,6662
GA,60,2,6666
GA,60,3,6627
GA,60,4,6595
GA,60,5,6601
GA,60,6,6607
GA,60,7,6712
GA,60,8,6665
GA,60,9,6603
GA,60,10,6645
GA,60,11,6642
GA,60,12,6686
GA,60,13,6653
GA,60,14,6705
GA,60,15,6714
GA,60,16,6675
GA,60,17,6654
GA,60,18,6571
GA,60,19,6568
GA,100,0,6626
GA,100,1,6639
GA,100,2,6614
GA,100,3,6624
GA,100,4,6617
GA,100,5,6606
GA,100,6,6607
GA,100,7,6660
GA,100,8,6571
GA,100,9,6678
GA,100,10,6650
GA,100,11,6630
GA,100,12,6668
GA,100,13,6608
GA,100,14,6599
GA,100,15,6646
GA,100,16,6648
GA,100,17,6683
GA,100,18,6613
GA,100,19,6643
GA,140,0,6648
GA,140,1,6632
GA,140,2,6678
GA,140,3,6635
GA,140,4,6636
GA,140,5,6635
GA,140,6,6619
GA,140,7,6671
GA,140,8,6603
GA,140,9,6627
GA,140,10,6607
GA,140,11,6623
GA,140,12,6621
GA,140,13,6616
GA,140,14,6651
GA,140,15,6566
GA,140,16,6562
GA,140,17,6668
GA,140,18,6582
GA,140,19,6685
GA,180,0,6659
GA,180,1,6674
GA,180,2,6657
GA,180,3,6608
GA,180,4,6630
GA,180,5,6638
GA,180,6,6615
GA,180,7,6627
GA,180,8,6619
GA,180,9,6668
GA,180,10,6604
GA,180,11,6627
GA,180,12,6674
GA,180,13,6637
GA,180,14,6651
GA,180,15,6631
GA,180,16,6575
GA,180,17,6606
GA,180,18,6663
GA,180,19,6649
GA,220,0,6591
GA,220,1,6664
GA,220,2,6633
GA,220,3,6630
GA,220,4,6615
GA,220,5,6645
GA,220,6,6652
GA,220,7,6597
GA,220,8,6651
GA,220,9,6646
GA,220,10,6618
GA,220,11,6643
GA,220,12,6643
GA,220,13,6630
GA,220,14,6575
GA,220,15,6657
GA,220,16,6635
GA,220,17,6593
GA,220,18,6705
GA,220,19,6580
GA,260,0,6653
GA,260,1,6645
GA,260,2,6616
GA,260,3,6631
GA,260,4,6617
GA,260,5,6625
GA,260,6,6626
GA,260,7,6646
GA,260,8,6676
GA,260,9,6681
GA,260,10,6634
GA,260,11,6578
GA,260,12,6599
GA,260,13,6569
GA,260,14,6631
GA,260,15,6704
GA,260,16,6644
GA,260,17,6680
GA,260,18,6676
GA,260,19,6642
