run,random_search,greedy,simulated_annealing,genetic_algorithm
0,29147,35236,27118,27807
1,29364,35271,27260,27862
2,29300,35076,27094,27749
3,29169,35018,27250,27795
4,29228,35236,27031,27840
5,29309,35157,27227,27832
6,29166,35147,27055,27777
7,29407,35210,27095,27833
8,29224,34879,27234,27718
9,29190,35369,27328,27880
10,29296,34824,27255,27710
11,29289,35228,27217,27771
12,28957,35463,27073,27664
13,29323,35059,27025,27883
14,29099,35322,27139,27843
15,29326,35352,27208,27801
16,29108,35352,27176,27868
17,29317,35302,27137,27730
18,29080,34945,27202,27674
19,29323,35802,27066,27762
