generation,best_makespan,avg_makespan,worst_makespan
0,29606,30350.5,31438
1,29454,29972.2,30219
2,29265,29754.5,30005
3,29190,29596.1,29880
4,29057,29472.2,29749
5,28971,29370.5,29624
6,28827,29290.2,29596
7,28827,29184.7,29482
8,28809,29082.5,29343
9,28793,28998.3,29245
10,28749,28922,29157
11,28605,28883,29121
12,28584,28865.8,29132
13,28584,28831.1,29115
14,28543,28786.8,29061
15,28543,28718.6,28915
16,28501,28661.5,28816
17,28488,28600,28692
18,28418,28582.7,28689
19,28394,28558.3,28700
20,28326,28510.5,28649
21,28326,28496.7,28643
22,28274,28464.7,28594
23,28272,28418.1,28559
24,28242,28387.1,28504
25,28235,28349.2,28440
26,28181,28315.1,28408
27,28181,28294.4,28378
28,28146,28265.8,28356
29,28133,28245.6,28324
30,28101,28230.1,28332
31,28091,28207.3,28313
32,28066,28190.8,28289
33,28046,28177.4,28290
34,28043,28156.3,28252
35,28038,28129.7,28216
36,28003,28120.2,28209
37,27936,28100.7,28175
38,27936,28098,28206
39,27925,28092.9,28193
40,27925,28068.8,28165
41,27925,28050,28157
42,27925,28024.1,28113
43,27874,28008.5,28102
44,27874,27985.4,28060
45,27874,27978.4,28052
46,27874,27971.4,28048
47,27874,27967.2,28049
48,27874,27962,28042
49,27871,27961.9,28047
50,27871,27947.9,28030
51,27864,27941.3,28020
52,27859,27940.9,28026
53,27852,27932.2,28013
54,27828,27930.9,28014
55,27817,27924.3,28019
56,27817,27914,27999
57,27817,27916.1,27998
58,27816,27897.8,27998
59,27787,27890.1,27965
60,27781,27879.6,27959
61,27781,27866.9,27953
62,27773,27863,27932
63,27767,27859.3,27943
64,27761,27852.9,27940
65,27734,27842.7,27937
66,27734,27840.9,27926
67,27733,27830.2,27909
68,27733,27827,27904
69,27733,27821.9,27904
70,27727,27815.9,27911
71,27727,27811.3,27891
72,27721,27810,27911
73,27714,27808,27896
74,27664,27802.2,27900
75,27664,27796.7,27894
76,27664,27790.1,27877
77,27664,27785.8,27881
78,27664,27773.2,27869
79,27660,27763.9,27867
80,27650,27747.1,27830
81,27650,27741.7,27844
82,27650,27734.9,27821
83,27629,27735.8,27834
84,27629,27727.1,27825
85,27606,27715.7,27807
86,27606,27705.8,27793
87,27606,27706.7,27793
88,27606,27697.1,27795
89,27603,27689.8,27775
90,27603,27686.9,27781
91,27587,27676.4,27783
92,27560,27670.4,27754
93,27560,27666.6,27760
94,27560,27668.5,27761
95,27560,27673.8,27765
96,27560,27670.8,27768
97,27560,27671.8,27778
98,27560,27674.7,27782
99,27560,27673,27777
