generation,best_makespan,avg_makespan,worst_makespan
0,29532,30362.4,31363
1,29466,29990.2,30321
2,29254,29779.1,30045
3,29200,29623.9,29907
4,29023,29510.2,29807
5,28987,29415.1,29716
6,28931,29329.9,29605
7,28866,29257.7,29557
8,28803,29147.7,29438
9,28772,29093.6,29397
10,28680,29028.4,29313
11,28636,28994.4,29302
12,28576,28939.3,29234
13,28545,28886.9,29155
14,28480,28823.2,29134
15,28480,28732.3,29007
16,28350,28648.2,28868
17,28350,28585.1,28761
18,28300,28544.1,28726
19,28236,28498.8,28663
20,28226,28447.3,28626
21,28226,28411.9,28548
22,28150,28366.5,28494
23,28089,28338.9,28490
24,28089,28294.9,28439
25,28020,28253.2,28408
26,28020,28202.3,28325
27,27970,28151.7,28276
28,27956,28112.3,28224
29,27925,28093.9,28223
30,27893,28074.5,28189
31,27893,28046.6,28165
32,27869,28035.2,28187
33,27869,28013.8,28133
34,27869,27995.8,28119
35,27818,27978.5,28098
36,27818,27958.3,28071
37,27814,27942.7,28059
38,27776,27931.8,28046
39,27761,27916.9,28030
40,27761,27898.2,28008
41,27761,27874,27980
42,27746,27853.5,27939
43,27738,27835.2,27908
44,27714,27825.2,27901
45,27697,27816.2,27891
46,27697,27804.1,27887
47,27686,27790.7,27866
48,27686,27785.1,27865
49,27675,27778.3,27868
