pm,run,makespan
0.01,0,1631
0.01,1,1637
0.01,2,1649
0.01,3,1625
0.01,4,1610
0.01,5,1634
0.01,6,1681
0.01,7,1631
0.01,8,1623
0.01,9,1615
0.01,10,1610
0.01,11,1625
0.01,12,1648
0.01,13,1639
0.01,14,1621
0.01,15,1618
0.01,16,1670
0.01,17,1612
0.01,18,1609
0.01,19,1664
0.01,20,1656
0.01,21,1647
0.01,22,1628
0.01,23,1646
0.01,24,1623
0.01,25,1642
0.01,26,1639
0.01,27,1625
0.01,28,1665
0.01,29,1668
0.05,0,1618
0.05,1,1629
0.05,2,1654
0.05,3,1625
0.05,4,1681
0.05,5,1614
0.05,6,1626
0.05,7,1631
0.05,8,1626
0.05,9,1619
0.05,10,1633
0.05,11,1650
0.05,12,1636
0.05,13,1626
0.05,14,1625
0.05,15,1625
0.05,16,1604
0.05,17,1640
0.05,18,1622
0.05,19,1642
0.05,20,1620
0.05,21,1624
0.05,22,1645
0.05,23,1638
0.05,24,1634
0.05,25,1635
0.05,26,1662
0.05,27,1636
0.05,28,1627
0.05,29,1621
0.1,0,1629
0.1,1,1639
0.1,2,1618
0.1,3,1606
0.1,4,1647
0.1,5,1611
0.1,6,1639
0.1,7,1634
0.1,8,1603
0.1,9,1621
0.1,10,1626
0.1,11,1635
0.1,12,1640
0.1,13,1622
0.1,14,1627
0.1,15,1663
0.1,16,1617
0.1,17,1617
0.1,18,1612
0.1,19,1609
0.1,20,1637
0.1,21,1644
0.1,22,1627
0.1,23,1622
0.1,24,1611
0.1,25,1605
0.1,26,1617
0.1,27,1628
0.1,28,1627
0.1,29,1630
0.15,0,1618
0.15,1,1620
0.15,2,1649
0.15,3,1674
0.15,4,1613
0.15,5,1643
0.15,6,1618
0.15,7,1648
0.15,8,1626
0.15,9,1621
0.15,10,1617
0.15,11,1611
0.15,12,1616
0.15,13,1630
0.15,14,1618
0.15,15,1644
0.15,16,1650
0.15,17,1631
0.15,18,1613
0.15,19,1618
0.15,20,1618
0.15,21,1661
0.15,22,1619
0.15,23,1628
0.15,24,1618
0.15,25,1633
0.15,26,1641
0.15,27,1605
0.15,28,1610
0.15,29,1629
0.2,0,1619
0.2,1,1633
0.2,2,1604
0.2,3,1623
0.2,4,1632
0.2,5,1623
0.2,6,1595
0.2,7,1627
0.2,8,1635
0.2,9,1618
0.2,10,1628
0.2,11,1629
0.2,12,1628
0.2,13,1626
0.2,14,1627
0.2,15,1639
0.2,16,1621
0.2,17,1603
0.2,18,1609
0.2,19,1625
0.2,20,1632
0.2,21,1623
0.2,22,1624
0.2,23,1646
0.2,24,1632
0.2,25,1620
0.2,26,1627
0.2,27,1613
0.2,28,1631
0.2,29,1637
0.3,0,1619
0.3,1,1620
0.3,2,1618
0.3,3,1625
0.3,4,1619
0.3,5,1618
0.3,6,1632
0.3,7,1630
0.3,8,1622
0.3,9,1618
0.3,10,1620
0.3,11,1635
0.3,12,1627
0.3,13,1621
0.3,14,1612
0.3,15,1639
0.3,16,1630
0.3,17,1596
0.3,18,1603
0.3,19,1625
0.3,20,1638
0.3,21,1635
0.3,22,1622
0.3,23,1609
0.3,24,1618
0.3,25,1623
0.3,26,1619
0.3,27,1615
0.3,28,1619
0.3,29,1626
0.4,0,1619
0.4,1,1649
0.4,2,1619
0.4,3,1643
0.4,4,1618
0.4,5,1623
0.4,6,1634
0.4,7,1618
0.4,8,1648
0.4,9,1634
0.4,10,1608
0.4,11,1644
0.4,12,1629
0.4,13,1624
0.4,14,1621
0.4,15,1618
0.4,16,1618
0.4,17,1641
0.4,18,1603
0.4,19,1632
0.4,20,1649
0.4,21,1614
0.4,22,1623
0.4,23,1628
0.4,24,1618
0.4,25,1618
0.4,26,1625
0.4,27,1602
0.4,28,1621
0.4,29,1649
0.5,0,1621
0.5,1,1613
0.5,2,1600
0.5,3,1623
0.5,4,1644
0.5,5,1618
0.5,6,1611
0.5,7,1586
0.5,8,1609
0.5,9,1621
0.5,10,1618
0.5,11,1612
0.5,12,1619
0.5,13,1618
0.5,14,1623
0.5,15,1627
0.5,16,1603
0.5,17,1618
0.5,18,1626
0.5,19,1624
0.5,20,1616
0.5,21,1595
0.5,22,1614
0.5,23,1618
0.5,24,1598
0.5,25,1626
0.5,26,1618
0.5,27,1627
0.5,28,1608
0.5,29,1613
