pm,run,makespan
0.01,0,2343
0.01,1,2328
0.01,2,2357
0.01,3,2349
0.01,4,2362
0.01,5,2344
0.01,6,2358
0.01,7,2325
0.01,8,2362
0.01,9,2370
0.01,10,2336
0.01,11,2343
0.01,12,2342
0.01,13,2376
0.01,14,2367
0.01,15,2378
0.01,16,2342
0.01,17,2334
0.01,18,2327
0.01,19,2364
0.15,0,2327
0.15,1,2344
0.15,2,2333
0.15,3,2342
0.15,4,2314
0.15,5,2359
0.15,6,2345
0.15,7,2350
0.15,8,2354
0.15,9,2335
0.15,10,2353
0.15,11,2317
0.15,12,2344
0.15,13,2331
0.15,14,2332
0.15,15,2336
0.15,16,2350
0.15,17,2350
0.15,18,2358
0.15,19,2335
0.3,0,2364
0.3,1,2325
0.3,2,2331
0.3,3,2336
0.3,4,2328
0.3,5,2313
0.3,6,2310
0.3,7,2388
0.3,8,2328
0.3,9,2331
0.3,10,2309
0.3,11,2341
0.3,12,2344
0.3,13,2321
0.3,14,2327
0.3,15,2338
0.3,16,2353
0.3,17,2322
0.3,18,2323
0.3,19,2359
0.45,0,2315
0.45,1,2328
0.45,2,2337
0.45,3,2356
0.45,4,2341
0.45,5,2333
0.45,6,2338
0.45,7,2318
0.45,8,2331
0.45,9,2337
0.45,10,2336
0.45,11,2335
0.45,12,2336
0.45,13,2349
0.45,14,2355
0.45,15,2335
0.45,16,2316
0.45,17,2320
0.45,18,2330
0.45,19,2328
0.6,0,2329
0.6,1,2328
0.6,2,2316
0.6,3,2338
0.6,4,2333
0.6,5,2337
0.6,6,2339
0.6,7,2335
0.6,8,2331
0.6,9,2347
0.6,10,2331
0.6,11,2330
0.6,12,2342
0.6,13,2349
0.6,14,2378
0.6,15,2324
0.6,16,2393
0.6,17,2316
0.6,18,2320
0.6,19,2349
0.75,0,2330
0.75,1,2322
0.75,2,2317
0.75,3,2308
0.75,4,2327
0.75,5,2322
0.75,6,2312
0.75,7,2337
0.75,8,2346
0.75,9,2335
0.75,10,2319
0.75,11,2336
0.75,12,2332
0.75,13,2335
0.75,14,2317
0.75,15,2336
0.75,16,2330
0.75,17,2330
0.75,18,2318
0.75,19,2320
0.9,0,2329
0.9,1,2316
0.9,2,2327
0.9,3,2314
0.9,4,2324
0.9,5,2327
0.9,6,2332
0.9,7,2331
0.9,8,2319
0.9,9,2328
0.9,10,2326
0.9,11,2351
0.9,12,2327
0.9,13,2329
0.9,14,2323
0.9,15,2333
0.9,16,2325
0.9,17,2323
0.9,18,2313
0.9,19,2316
1,0,2319
1,1,2330
1,2,2335
1,3,2342
1,4,2321
1,5,2336
1,6,2314
1,7,2330
1,8,2338
1,9,2338
1,10,2337
1,11,2329
1,12,2321
1,13,2328
1,14,2326
1,15,2333
1,16,2322
1,17,2353
1,18,2321
1,19,2337
