population_size,run,makespan
50,0,1680
50,1,1656
50,2,1683
50,3,1640
50,4,1699
50,5,1663
50,6,1664
50,7,1635
50,8,1628
50,9,1634
50,10,1644
50,11,1723
50,12,1646
50,13,1672
50,14,1676
50,15,1692
50,16,1626
50,17,1693
50,18,1676
50,19,1683
50,20,1663
50,21,1655
50,22,1642
50,23,1685
50,24,1647
50,25,1691
50,26,1695
50,27,1623
50,28,1709
50,29,1652
100,0,1631
100,1,1630
100,2,1636
100,3,1620
100,4,1660
100,5,1602
100,6,1623
100,7,1625
100,8,1668
100,9,1672
100,10,1644
100,11,1713
100,12,1620
100,13,1652
100,14,1670
100,15,1625
100,16,1623
100,17,1613
100,18,1623
100,19,1624
100,20,1631
100,21,1670
100,22,1635
100,23,1664
100,24,1610
100,25,1611
100,26,1647
100,27,1646
100,28,1634
100,29,1680
150,0,1610
150,1,1628
150,2,1622
150,3,1611
150,4,1669
150,5,1660
150,6,1610
150,7,1627
150,8,1623
150,9,1623
150,10,1625
150,11,1625
150,12,1679
150,13,1635
150,14,1637
150,15,1602
150,16,1617
150,17,1603
150,18,1630
150,19,1645
150,20,1634
150,21,1644
150,22,1599
150,23,1619
150,24,1654
150,25,1634
150,26,1635
150,27,1618
150,28,1635
150,29,1623
180,0,1640
180,1,1625
180,2,1607
180,3,1612
180,4,1613
180,5,1618
180,6,1618
180,7,1629
180,8,1618
180,9,1633
180,10,1635
180,11,1660
180,12,1637
180,13,1618
180,14,1608
180,15,1657
180,16,1625
180,17,1599
180,18,1618
180,19,1618
180,20,1638
180,21,1611
180,22,1629
180,23,1614
180,24,1631
180,25,1595
180,26,1636
180,27,1627
180,28,1617
180,29,1608
200,0,1618
200,1,1638
200,2,1626
200,3,1643
200,4,1653
200,5,1627
200,6,1627
200,7,1646
200,8,1618
200,9,1617
200,10,1648
200,11,1620
200,12,1635
200,13,1619
200,14,1620
200,15,1597
200,16,1626
200,17,1618
200,18,1613
200,19,1608
200,20,1623
200,21,1664
200,22,1621
200,23,1610
200,24,1618
200,25,1623
200,26,1618
200,27,1624
200,28,1625
200,29,1606
250,0,1617
250,1,1633
250,2,1640
250,3,1623
250,4,1613
250,5,1616
250,6,1622
250,7,1640
250,8,1592
250,9,1645
250,10,1656
250,11,1640
250,12,1627
250,13,1606
250,14,1607
250,15,1631
250,16,1614
250,17,1628
250,18,1608
250,19,1644
250,20,1626
250,21,1611
250,22,1635
250,23,1620
250,24,1649
250,25,1622
250,26,1623
250,27,1627
250,28,1625
250,29,1615
300,0,1618
300,1,1625
300,2,1618
300,3,1614
300,4,1603
300,5,1618
300,6,1618
300,7,1618
300,8,1618
300,9,1618
300,10,1596
300,11,1620
300,12,1618
300,13,1618
300,14,1593
300,15,1618
300,16,1618
300,17,1621
300,18,1650
300,19,1608
300,20,1638
300,21,1654
300,22,1634
300,23,1618
300,24,1601
300,25,1623
300,26,1618
300,27,1622
300,28,1635
300,29,1594
400,0,1592
400,1,1606
400,2,1615
400,3,1613
400,4,1607
400,5,1623
400,6,1604
400,7,1619
400,8,1619
400,9,1619
400,10,1618
400,11,1611
400,12,1618
400,13,1606
400,14,1619
400,15,1613
400,16,1617
400,17,1637
400,18,1600
400,19,1643
400,20,1618
400,21,1618
400,22,1617
400,23,1628
400,24,1613
400,25,1637
400,26,1640
400,27,1623
400,28,1625
400,29,1613
