population_size,run,makespan
50,0,1297
50,1,1324
50,2,1324
50,3,1297
50,4,1297
50,5,1305
50,6,1297
50,7,1297
50,8,1297
50,9,1297
50,10,1339
50,11,1339
50,12,1339
50,13,1297
50,14,1339
50,15,1297
50,16,1297
50,17,1297
50,18,1324
50,19,1310
50,20,1297
50,21,1322
50,22,1297
50,23,1305
50,24,1305
50,25,1297
50,26,1297
50,27,1297
50,28,1339
50,29,1297
100,0,1297
100,1,1297
100,2,1297
100,3,1297
100,4,1297
100,5,1297
100,6,1297
100,7,1297
100,8,1297
100,9,1297
100,10,1297
100,11,1297
100,12,1297
100,13,1297
100,14,1297
100,15,1297
100,16,1297
100,17,1297
100,18,1297
100,19,1297
100,20,1297
100,21,1297
100,22,1305
100,23,1297
100,24,1297
100,25,1297
100,26,1305
100,27,1297
100,28,1297
100,29,1297
150,0,1297
150,1,1297
150,2,1297
150,3,1297
150,4,1297
150,5,1297
150,6,1297
150,7,1297
150,8,1297
150,9,1297
150,10,1297
150,11,1297
150,12,1297
150,13,1297
150,14,1297
150,15,1297
150,16,1297
150,17,1297
150,18,1297
150,19,1297
150,20,1297
150,21,1297
150,22,1297
150,23,1297
150,24,1297
150,25,1297
150,26,1297
150,27,1297
150,28,1297
150,29,1297
180,0,1297
180,1,1297
180,2,1297
180,3,1297
180,4,1297
180,5,1297
180,6,1297
180,7,1297
180,8,1297
180,9,1297
180,10,1297
180,11,1297
180,12,1297
180,13,1297
180,14,1297
180,15,1297
180,16,1297
180,17,1297
180,18,1297
180,19,1297
180,20,1305
180,21,1297
180,22,1297
180,23,1297
180,24,1297
180,25,1297
180,26,1297
180,27,1297
180,28,1297
180,29,1297
200,0,1297
200,1,1297
200,2,1294
200,3,1297
200,4,1297
200,5,1297
200,6,1297
200,7,1297
200,8,1297
200,9,1297
200,10,1297
200,11,1297
200,12,1297
200,13,1297
200,14,1297
200,15,1297
200,16,1297
200,17,1297
200,18,1297
200,19,1297
200,20,1297
200,21,1297
200,22,1297
200,23,1297
200,24,1297
200,25,1297
200,26,1297
200,27,1297
200,28,1297
200,29,1297
250,0,1297
250,1,1297
250,2,1297
250,3,1297
250,4,1297
250,5,1297
250,6,1297
250,7,1297
250,8,1297
250,9,1297
250,10,1297
250,11,1297
250,12,1297
250,13,1297
250,14,1297
250,15,1297
250,16,1297
250,17,1297
250,18,1297
250,19,1297
250,20,1297
250,21,1297
250,22,1297
250,23,1297
250,24,1297
250,25,1297
250,26,1297
250,27,1297
250,28,1297
250,29,1297
300,0,1297
300,1,1297
300,2,1297
300,3,1297
300,4,1297
300,5,1297
300,6,1297
300,7,1297
300,8,1297
300,9,1297
300,10,1297
300,11,1297
300,12,1297
300,13,1297
300,14,1297
300,15,1297
300,16,1297
300,17,1297
300,18,1297
300,19,1297
300,20,1297
300,21,1297
300,22,1297
300,23,1297
300,24,1297
300,25,1297
300,26,1297
300,27,1297
300,28,1297
300,29,1297
400,0,1297
400,1,1297
400,2,1297
400,3,1297
400,4,1297
400,5,1278
400,6,1297
400,7,1297
400,8,1297
400,9,1278
400,10,1297
400,11,1297
400,12,1297
400,13,1297
400,14,1297
400,15,1297
400,16,1297
400,17,1297
400,18,1297
400,19,1297
400,20,1297
400,21,1297
400,22,1297
400,23,1297
400,24,1297
400,25,1297
400,26,1297
400,27,1297
400,28,1297
400,29,1297
