population_size,generations,run,makespan
45,400,0,27984
45,400,1,27816
45,400,2,27930
45,400,3,28064
45,400,4,27954
45,400,5,28086
45,400,6,28109
45,400,7,27821
45,400,8,27890
45,400,9,28143
45,400,10,27861
45,400,11,27954
45,400,12,27991
45,400,13,27849
45,400,14,27983
45,400,15,28129
45,400,16,28033
45,400,17,28032
45,400,18,27879
45,400,19,28196
45,400,20,28119
45,400,21,28060
45,400,22,27836
45,400,23,28014
45,400,24,28020
45,400,25,27862
45,400,26,28001
45,400,27,27882
45,400,28,28043
45,400,29,28140
90,200,0,27991
90,200,1,27991
90,200,2,27982
90,200,3,28061
90,200,4,27921
90,200,5,27978
90,200,6,28112
90,200,7,28031
90,200,8,27741
90,200,9,27813
90,200,10,28077
90,200,11,28094
90,200,12,28000
90,200,13,28033
90,200,14,28189
90,200,15,28103
90,200,16,28121
90,200,17,28144
90,200,18,27936
90,200,19,28058
90,200,20,27905
90,200,21,27936
90,200,22,27823
90,200,23,27857
90,200,24,27823
90,200,25,27915
90,200,26,28044
90,200,27,27859
90,200,28,28054
90,200,29,27946
180,100,0,27850
180,100,1,27704
180,100,2,28032
180,100,3,27882
180,100,4,27924
180,100,5,27926
180,100,6,27881
180,100,7,28016
180,100,8,28063
180,100,9,27781
180,100,10,28034
180,100,11,27861
180,100,12,28142
180,100,13,27796
180,100,14,27988
180,100,15,27787
180,100,16,28026
180,100,17,27687
180,100,18,28023
180,100,19,27932
180,100,20,27738
180,100,21,27878
180,100,22,27769
180,100,23,27782
180,100,24,27878
180,100,25,27850
180,100,26,27801
180,100,27,27789
180,100,28,27730
180,100,29,27902
360,50,0,27913
360,50,1,27979
360,50,2,27892
360,50,3,27680
360,50,4,27793
360,50,5,27768
360,50,6,27855
360,50,7,27793
360,50,8,27930
360,50,9,27947
360,50,10,27844
360,50,11,27737
360,50,12,27715
360,50,13,27870
360,50,14,27866
360,50,15,27873
360,50,16,27990
360,50,17,28073
360,50,18,27928
360,50,19,28019
360,50,20,27765
360,50,21,27800
360,50,22,27798
360,50,23,27848
360,50,24,27769
360,50,25,27925
360,50,26,27948
360,50,27,27725
360,50,28,28180
360,50,29,27779
