population_size,generations,run,makespan
45,400,0,2342
45,400,1,2379
45,400,2,2339
45,400,3,2389
45,400,4,2332
45,400,5,2348
45,400,6,2330
45,400,7,2330
45,400,8,2354
45,400,9,2405
45,400,10,2345
45,400,11,2348
45,400,12,2377
45,400,13,2309
45,400,14,2373
45,400,15,2328
45,400,16,2362
45,400,17,2359
45,400,18,2376
45,400,19,2331
90,200,0,2344
90,200,1,2345
90,200,2,2345
90,200,3,2339
90,200,4,2345
90,200,5,2320
90,200,6,2340
90,200,7,2376
90,200,8,2326
90,200,9,2368
90,200,10,2397
90,200,11,2358
90,200,12,2316
90,200,13,2366
90,200,14,2341
90,200,15,2383
90,200,16,2339
90,200,17,2346
90,200,18,2342
90,200,19,2337
180,100,0,2336
180,100,1,2321
180,100,2,2335
180,100,3,2324
180,100,4,2323
180,100,5,2349
180,100,6,2316
180,100,7,2309
180,100,8,2352
180,100,9,2319
180,100,10,2343
180,100,11,2338
180,100,12,2318
180,100,13,2332
180,100,14,2335
180,100,15,2328
180,100,16,2331
180,100,17,2333
180,100,18,2330
180,100,19,2337
360,50,0,2297
360,50,1,2333
360,50,2,2337
360,50,3,2323
360,50,4,2331
360,50,5,2327
360,50,6,2330
360,50,7,2324
360,50,8,2319
360,50,9,2318
360,50,10,2319
360,50,11,2347
360,50,12,2306
360,50,13,2328
360,50,14,2324
360,50,15,2330
360,50,16,2316
360,50,17,2324
360,50,18,2335
360,50,19,2344
