px,run,makespan
0.5,0,1644
0.5,1,1623
0.5,2,1640
0.5,3,1636
0.5,4,1631
0.5,5,1663
0.5,6,1633
0.5,7,1657
0.5,8,1637
0.5,9,1637
0.5,10,1627
0.5,11,1681
0.5,12,1642
0.5,13,1656
0.5,14,1656
0.5,15,1612
0.5,16,1631
0.5,17,1594
0.5,18,1670
0.5,19,1641
0.5,20,1626
0.5,21,1732
0.5,22,1638
0.5,23,1667
0.5,24,1625
0.5,25,1640
0.5,26,1650
0.5,27,1612
0.5,28,1640
0.5,29,1648
0.6,0,1627
0.6,1,1609
0.6,2,1626
0.6,3,1627
0.6,4,1634
0.6,5,1648
0.6,6,1652
0.6,7,1618
0.6,8,1618
0.6,9,1632
0.6,10,1697
0.6,11,1608
0.6,12,1630
0.6,13,1632
0.6,14,1650
0.6,15,1643
0.6,16,1644
0.6,17,1623
0.6,18,1611
0.6,19,1665
0.6,20,1609
0.6,21,1618
0.6,22,1627
0.6,23,1622
0.6,24,1608
0.6,25,1655
0.6,26,1663
0.6,27,1652
0.6,28,1643
0.6,29,1665
0.7,0,1643
0.7,1,1629
0.7,2,1659
0.7,3,1625
0.7,4,1600
0.7,5,1648
0.7,6,1625
0.7,7,1643
0.7,8,1644
0.7,9,1681
0.7,10,1600
0.7,11,1618
0.7,12,1627
0.7,13,1618
0.7,14,1594
0.7,15,1634
0.7,16,1677
0.7,17,1648
0.7,18,1670
0.7,19,1626
0.7,20,1625
0.7,21,1654
0.7,22,1624
0.7,23,1650
0.7,24,1615
0.7,25,1625
0.7,26,1650
0.7,27,1643
0.7,28,1636
0.7,29,1643
0.8,0,1659
0.8,1,1618
0.8,2,1628
0.8,3,1583
0.8,4,1618
0.8,5,1619
0.8,6,1612
0.8,7,1629
0.8,8,1626
0.8,9,1630
0.8,10,1615
0.8,11,1627
0.8,12,1596
0.8,13,1627
0.8,14,1618
0.8,15,1665
0.8,16,1649
0.8,17,1635
0.8,18,1626
0.8,19,1631
0.8,20,1626
0.8,21,1609
0.8,22,1608
0.8,23,1639
0.8,24,1623
0.8,25,1626
0.8,26,1626
0.8,27,1635
0.8,28,1631
0.8,29,1620
0.85,0,1627
0.85,1,1624
0.85,2,1621
0.85,3,1680
0.85,4,1616
0.85,5,1628
0.85,6,1635
0.85,7,1656
0.85,8,1618
0.85,9,1625
0.85,10,1657
0.85,11,1642
0.85,12,1615
0.85,13,1658
0.85,14,1627
0.85,15,1619
0.85,16,1618
0.85,17,1650
0.85,18,1653
0.85,19,1618
0.85,20,1617
0.85,21,1645
0.85,22,1620
0.85,23,1623
0.85,24,1610
0.85,25,1595
0.85,26,1658
0.85,27,1618
0.85,28,1630
0.85,29,1628
0.9,0,1608
0.9,1,1622
0.9,2,1625
0.9,3,1641
0.9,4,1619
0.9,5,1651
0.9,6,1636
0.9,7,1658
0.9,8,1622
0.9,9,1618
0.9,10,1627
0.9,11,1627
0.9,12,1632
0.9,13,1632
0.9,14,1625
0.9,15,1622
0.9,16,1627
0.9,17,1618
0.9,18,1634
0.9,19,1635
0.9,20,1637
0.9,21,1674
0.9,22,1622
0.9,23,1628
0.9,24,1617
0.9,25,1626
0.9,26,1626
0.9,27,1618
0.9,28,1626
0.9,29,1617
0.95,0,1612
0.95,1,1600
0.95,2,1620
0.95,3,1623
0.95,4,1617
0.95,5,1618
0.95,6,1620
0.95,7,1627
0.95,8,1623
0.95,9,1610
0.95,10,1642
0.95,11,1637
0.95,12,1627
0.95,13,1621
0.95,14,1657
0.95,15,1636
0.95,16,1630
0.95,17,1642
0.95,18,1637
0.95,19,1617
0.95,20,1654
0.95,21,1617
0.95,22,1643
0.95,23,1601
0.95,24,1621
0.95,25,1618
0.95,26,1635
0.95,27,1622
0.95,28,1632
0.95,29,1629
1,0,1627
1,1,1623
1,2,1612
1,3,1635
1,4,1648
1,5,1614
1,6,1632
1,7,1626
1,8,1623
1,9,1624
1,10,1618
1,11,1628
1,12,1627
1,13,1645
1,14,1618
1,15,1620
1,16,1631
1,17,1617
1,18,1625
1,19,1625
1,20,1606
1,21,1639
1,22,1630
1,23,1608
1,24,1624
1,25,1623
1,26,1639
1,27,1618
1,28,1622
1,29,1624
