px,run,makespan
0.5,0,2328
0.5,1,2335
0.5,2,2362
0.5,3,2351
0.5,4,2351
0.5,5,2308
0.5,6,2320
0.5,7,2340
0.5,8,2341
0.5,9,2338
0.5,10,2337
0.5,11,2358
0.5,12,2320
0.5,13,2326
0.5,14,2343
0.5,15,2356
0.5,16,2352
0.5,17,2309
0.5,18,2333
0.5,19,2332
0.6,0,2327
0.6,1,2356
0.6,2,2333
0.6,3,2312
0.6,4,2417
0.6,5,2353
0.6,6,2357
0.6,7,2331
0.6,8,2339
0.6,9,2321
0.6,10,2337
0.6,11,2328
0.6,12,2331
0.6,13,2335
0.6,14,2322
0.6,15,2346
0.6,16,2335
0.6,17,2343
0.6,18,2329
0.6,19,2334
0.7,0,2307
0.7,1,2322
0.7,2,2331
0.7,3,2381
0.7,4,2331
0.7,5,2379
0.7,6,2318
0.7,7,2352
0.7,8,2326
0.7,9,2342
0.7,10,2343
0.7,11,2345
0.7,12,2329
0.7,13,2319
0.7,14,2342
0.7,15,2341
0.7,16,2330
0.7,17,2324
0.7,18,2328
0.7,19,2365
0.8,0,2316
0.8,1,2318
0.8,2,2332
0.8,3,2332
0.8,4,2337
0.8,5,2345
0.8,6,2339
0.8,7,2343
0.8,8,2324
0.8,9,2323
0.8,10,2312
0.8,11,2335
0.8,12,2332
0.8,13,2333
0.8,14,2322
0.8,15,2311
0.8,16,2326
0.8,17,2354
0.8,18,2335
0.8,19,2319
0.85,0,2352
0.85,1,2315
0.85,2,2335
0.85,3,2337
0.85,4,2314
0.85,5,2345
0.85,6,2324
0.85,7,2330
0.85,8,2328
0.85,9,2314
0.85,10,2324
0.85,11,2327
0.85,12,2334
0.85,13,2309
0.85,14,2334
0.85,15,2375
0.85,16,2325
0.85,17,2323
0.85,18,2314
0.85,19,2329
0.9,0,2332
0.9,1,2316
0.9,2,2361
0.9,3,2328
0.9,4,2328
0.9,5,2349
0.9,6,2343
0.9,7,2341
0.9,8,2339
0.9,9,2328
0.9,10,2337
0.9,11,2336
0.9,12,2357
0.9,13,2397
0.9,14,2311
0.9,15,2331
0.9,16,2319
0.9,17,2318
0.9,18,2334
0.9,19,2316
0.95,0,2331
0.95,1,2328
0.95,2,2315
0.95,3,2336
0.95,4,2345
0.95,5,2327
0.95,6,2336
0.95,7,2314
0.95,8,2330
0.95,9,2338
0.95,10,2329
0.95,11,2310
0.95,12,2324
0.95,13,2308
0.95,14,2325
0.95,15,2321
0.95,16,2332
0.95,17,2332
0.95,18,2331
0.95,19,2334
1,0,2315
1,1,2314
1,2,2324
1,3,2347
1,4,2327
1,5,2339
1,6,2323
1,7,2331
1,8,2323
1,9,2310
1,10,2328
1,11,2346
1,12,2344
1,13,2323
1,14,2316
1,15,2325
1,16,2323
1,17,2339
1,18,2307
1,19,2326
