run,random_search,greedy,simulated_annealing,genetic_algorithm
0,1755,2131,1617,1631
1,1772,2164,1620,1613
2,1737,2137,1613,1612
3,1770,2067,1614,1633
4,1783,2205,1613,1618
5,1772,2190,1625,1607
6,1747,2082,1634,1623
7,1764,2075,1622,1635
8,1770,2211,1651,1624
9,1785,2170,1638,1605
10,1788,2078,1625,1605
11,1780,2161,1639,1617
12,1782,2150,1670,1610
13,1754,2103,1629,1619
14,1763,2122,1667,1598
15,1775,2155,1627,1618
16,1741,2094,1631,1618
17,1721,2156,1659,1616
18,1741,2067,1618,1632
19,1754,2211,1598,1628
