pm,run,makespan
0.01,0,28490
0.01,1,28228
0.01,2,28339
0.01,3,28222
0.01,4,28175
0.01,5,28244
0.01,6,28320
0.01,7,28093
0.01,8,28188
0.01,9,28106
0.01,10,28058
0.01,11,28106
0.01,12,27891
0.01,13,28145
0.01,14,28431
0.01,15,27864
0.01,16,28014
0.01,17,28400
0.01,18,28176
0.01,19,28285
0.01,20,28242
0.01,21,28232
0.01,22,28008
0.01,23,28118
0.01,24,28081
0.01,25,27985
0.01,26,27957
0.01,27,28336
0.01,28,28243
0.01,29,28087
0.05,0,28061
0.05,1,27843
0.05,2,28070
0.05,3,28035
0.05,4,28063
0.05,5,28051
0.05,6,27939
0.05,7,28040
0.05,8,27982
0.05,9,27865
0.05,10,28007
0.05,11,27998
0.05,12,27995
0.05,13,27993
0.05,14,28059
0.05,15,28041
0.05,16,27934
0.05,17,28010
0.05,18,28119
0.05,19,27732
0.05,20,28219
0.05,21,28225
0.05,22,27962
0.05,23,28203
0.05,24,28289
0.05,25,27852
0.05,26,27903
0.05,27,27888
0.05,28,28009
0.05,29,28027
0.1,0,27996
0.1,1,28029
0.1,2,27753
0.1,3,27925
0.1,4,27853
0.1,5,28055
0.1,6,27785
0.1,7,28178
0.1,8,27922
0.1,9,28005
0.1,10,27945
0.1,11,27711
0.1,12,27961
0.1,13,27832
0.1,14,27794
0.1,15,28028
0.1,16,27558
0.1,17,28152
0.1,18,27893
0.1,19,27638
0.1,20,28042
0.1,21,27986
0.1,22,27953
0.1,23,28050
0.1,24,27873
0.1,25,27967
0.1,26,27834
0.1,27,27842
0.1,28,27932
0.1,29,28044
0.15,0,28245
0.15,1,27981
0.15,2,27845
0.15,3,27748
0.15,4,27879
0.15,5,27861
0.15,6,27767
0.15,7,27921
0.15,8,28129
0.15,9,27983
0.15,10,27874
0.15,11,27789
0.15,12,27894
0.15,13,27980
0.15,14,27745
0.15,15,27802
0.15,16,27683
0.15,17,27742
0.15,18,27772
0.15,19,27969
0.15,20,27878
0.15,21,28133
0.15,22,27818
0.15,23,27950
0.15,24,28118
0.15,25,27864
0.15,26,27677
0.15,27,27756
0.15,28,27863
0.15,29,27896
0.2,0,27639
0.2,1,27915
0.2,2,27599
0.2,3,27696
0.2,4,27946
0.2,5,27854
0.2,6,27831
0.2,7,27760
0.2,8,27794
0.2,9,27803
0.2,10,27713
0.2,11,27740
0.2,12,27935
0.2,13,27905
0.2,14,27935
0.2,15,27848
0.2,16,27902
0.2,17,27802
0.2,18,27626
0.2,19,27921
0.2,20,27786
0.2,21,27926
0.2,22,27797
0.2,23,27807
0.2,24,27805
0.2,25,28010
0.2,26,27517
0.2,27,27724
0.2,28,27800
0.2,29,27649
0.3,0,27721
0.3,1,27753
0.3,2,27768
0.3,3,27771
0.3,4,27580
0.3,5,27768
0.3,6,27659
0.3,7,27734
0.3,8,27763
0.3,9,27735
0.3,10,27826
0.3,11,27741
0.3,12,27606
0.3,13,27671
0.3,14,27938
0.3,15,27891
0.3,16,27618
0.3,17,27731
0.3,18,27733
0.3,19,27834
0.3,20,27678
0.3,21,27704
0.3,22,27949
0.3,23,27724
0.3,24,27689
0.3,25,27602
0.3,26,27664
0.3,27,27773
0.3,28,27793
0.3,29,27553
0.4,0,27670
0.4,1,27722
0.4,2,27677
0.4,3,27898
0.4,4,27670
0.4,5,27492
0.4,6,27807
0.4,7,27858
0.4,8,27634
0.4,9,27722
0.4,10,27762
0.4,11,27742
0.4,12,27658
0.4,13,27811
0.4,14,27794
0.4,15,27816
0.4,16,27722
0.4,17,27745
0.4,18,27758
0.4,19,27692
0.4,20,27751
0.4,21,27736
0.4,22,27598
0.4,23,27771
0.4,24,27628
0.4,25,27649
0.4,26,27820
0.4,27,27862
0.4,28,27754
0.4,29,27645
0.5,0,27521
0.5,1,27760
0.5,2,27551
0.5,3,27693
0.5,4,27588
0.5,5,27767
0.5,6,27623
0.5,7,27539
0.5,8,27606
0.5,9,27753
0.5,10,27641
0.5,11,27699
0.5,12,27787
0.5,13,27545
0.5,14,27693
0.5,15,27827
0.5,16,27538
0.5,17,27689
0.5,18,27709
0.5,19,27609
0.5,20,27747
0.5,21,27717
0.5,22,27832
0.5,23,27619
0.5,24,27612
0.5,25,27723
0.5,26,27580
0.5,27,27431
0.5,28,27633
0.5,29,27648
