tournament_size,run,makespan
2,0,1652
2,1,1620
2,2,1599
2,3,1631
2,4,1620
2,5,1636
2,6,1614
2,7,1624
2,8,1618
2,9,1611
2,10,1623
2,11,1598
2,12,1612
2,13,1618
2,14,1599
2,15,1618
2,16,1622
2,17,1618
2,18,1617
2,19,1621
2,20,1598
2,21,1604
2,22,1601
2,23,1608
2,24,1598
2,25,1619
2,26,1619
2,27,1604
2,28,1604
2,29,1618
3,0,1621
3,1,1645
3,2,1595
3,3,1618
3,4,1613
3,5,1632
3,6,1619
3,7,1626
3,8,1644
3,9,1633
3,10,1613
3,11,1640
3,12,1618
3,13,1633
3,14,1627
3,15,1625
3,16,1618
3,17,1624
3,18,1619
3,19,1626
3,20,1623
3,21,1601
3,22,1619
3,23,1608
3,24,1619
3,25,1629
3,26,1621
3,27,1615
3,28,1618
3,29,1622
4,0,1618
4,1,1637
4,2,1619
4,3,1653
4,4,1618
4,5,1637
4,6,1633
4,7,1607
4,8,1649
4,9,1625
4,10,1609
4,11,1635
4,12,1599
4,13,1601
4,14,1627
4,15,1658
4,16,1651
4,17,1610
4,18,1601
4,19,1616
4,20,1622
4,21,1609
4,22,1635
4,23,1618
4,24,1606
4,25,1634
4,26,1613
4,27,1627
4,28,1624
4,29,1604
5,0,1618
5,1,1650
5,2,1634
5,3,1639
5,4,1618
5,5,1629
5,6,1662
5,7,1618
5,8,1620
5,9,1622
5,10,1628
5,11,1612
5,12,1627
5,13,1677
5,14,1634
5,15,1661
5,16,1621
5,17,1645
5,18,1608
5,19,1627
5,20,1640
5,21,1622
5,22,1627
5,23,1677
5,24,1625
5,25,1642
5,26,1643
5,27,1612
5,28,1644
5,29,1647
6,0,1622
6,1,1632
6,2,1629
6,3,1676
6,4,1633
6,5,1626
6,6,1625
6,7,1635
6,8,1655
6,9,1618
6,10,1659
6,11,1624
6,12,1617
6,13,1674
6,14,1626
6,15,1638
6,16,1617
6,17,1620
6,18,1637
6,19,1645
6,20,1690
6,21,1653
6,22,1625
6,23,1637
6,24,1654
6,25,1623
6,26,1628
6,27,1627
6,28,1629
6,29,1628
7,0,1633
7,1,1629
7,2,1598
7,3,1627
7,4,1625
7,5,1675
7,6,1637
7,7,1626
7,8,1618
7,9,1657
7,10,1644
7,11,1661
7,12,1656
7,13,1604
7,14,1630
7,15,1651
7,16,1665
7,17,1621
7,18,1653
7,19,1618
7,20,1625
7,21,1619
7,22,1613
7,23,1616
7,24,1651
7,25,1640
7,26,1639
7,27,1663
7,28,1636
7,29,1625
8,0,1631
8,1,1637
8,2,1645
8,3,1640
8,4,1623
8,5,1644
8,6,1669
8,7,1604
8,8,1610
8,9,1636
8,10,1632
8,11,1641
8,12,1668
8,13,1627
8,14,1632
8,15,1646
8,16,1627
8,17,1635
8,18,1618
8,19,1635
8,20,1637
8,21,1633
8,22,1646
8,23,1653
8,24,1640
8,25,1629
8,26,1635
8,27,1627
8,28,1620
8,29,1640
10,0,1631
10,1,1647
10,2,1626
10,3,1618
10,4,1618
10,5,1616
10,6,1675
10,7,1618
10,8,1660
10,9,1649
10,10,1612
10,11,1626
10,12,1622
10,13,1680
10,14,1623
10,15,1632
10,16,1669
10,17,1628
10,18,1650
10,19,1633
10,20,1635
10,21,1623
10,22,1612
10,23,1629
10,24,1643
10,25,1642
10,26,1646
10,27,1637
10,28,1673
10,29,1658
