Algorithm,Makespan
Algorithm,pm,Makespan
GA,0.1,6824
Algorithm,pm,Makespan
GA,0.1,6686
Algorithm,pm,Makespan
GA,0.1,6833
Algorithm,pm,Makespan
GA,0.1,6773
Algorithm,pm,Makespan
GA,0.1,6834
Algorithm,pm,Makespan
GA,0.1,6776
Algorithm,pm,Makespan
GA,0.1,6838
Algorithm,pm,Makespan
GA,0.1,6786
Algorithm,pm,Makespan
GA,0.1,6793
Algorithm,pm,Makespan
GA,0.1,6787
Algorithm,pm,Makespan
GA,0.1,6732
Algorithm,pm,Makespan
GA,0.1,6942
Algorithm,pm,Makespan
GA,0.1,6736
Algorithm,pm,Makespan
GA,0.1,6752
Algorithm,pm,Makespan
GA,0.1,6800
Algorithm,pm,Makespan
GA,0.1,6631
Algorithm,pm,Makespan
GA,0.1,6752
Algorithm,pm,Makespan
GA,0.1,6849
Algorithm,pm,Makespan
GA,0.1,6752
Algorithm,pm,Makespan
GA,0.1,6711
Algorithm,pm,Makespan
GA,0.1,6778
Algorithm,pm,Makespan
GA,0.1,6733
Algorithm,pm,Makespan
GA,0.1,6729
Algorithm,pm,Makespan
GA,0.1,6834
Algorithm,pm,Makespan
GA,0.1,6730
Algorithm,pm,Makespan
GA,0.1,6730
Algorithm,pm,Makespan
GA,0.1,6777
Algorithm,pm,Makespan
GA,0.1,6807
Algorithm,pm,Makespan
GA,0.1,6780
Algorithm,pm,Makespan
GA,0.1,6781
Algorithm,pm,Makespan
GA,0.1,6753
Algorithm,pm,Makespan
GA,0.1,6834
Algorithm,pm,Makespan
GA,0.1,6812
Algorithm,pm,Makespan
GA,0.1,6807
Algorithm,pm,Makespan
GA,0.1,6711
